epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,937.988,0.68018,1.66116,1.03226,1.08709,0,0.55766,0.47873,0.54705,0.40147,0.71175,0.37301,0.53004,0.36971,1.34399,2.83229,1.70774,1.88594,0,0.000760429,0.000760429,0.000760429
46,958.767,0.67935,1.65305,1.0367,1.10564,0,0.6934,0.52901,0.70371,0.53308,0.69039,0.53304,0.68885,0.49705,1.21618,2.85374,1.52858,1.74713,0,0.00075878,0.00075878,0.00075878
47,979.642,0.68125,1.64741,1.04612,1.09252,0,0.37749,0.72463,0.63549,0.48167,0.35707,0.67552,0.60464,0.46088,1.27634,2.96266,1.66418,1.75846,0,0.00075713,0.00075713,0.00075713
48,1000.19,0.66853,1.71617,1.02531,1.08529,0,0.63225,0.5898,0.66527,0.53012,0.58786,0.56748,0.63762,0.47846,1.20427,2.6868,1.61026,1.68653,0,0.000755481,0.000755481,0.000755481
49,1020.78,0.64936,1.58009,0.95347,1.07693,0,0.84967,0.41013,0.67405,0.51992,0.81818,0.39508,0.62321,0.4628,1.25523,2.78251,1.56248,1.79725,0,0.000753832,0.000753832,0.000753832
50,1041.34,0.63864,1.6226,0.95261,1.05869,0,0.59346,0.71569,0.74548,0.56203,0.55311,0.64426,0.68501,0.51944,1.25993,2.60717,1.71931,1.76144,0,0.000752182,0.000752182,0.000752182
51,1061.93,0.64308,1.56268,0.95615,1.05877,0,0.69709,0.60104,0.67671,0.5071,0.64204,0.58342,0.63716,0.4916,1.18365,2.7113,1.35981,1.78957,0,0.000750533,0.000750533,0.000750533
52,1082.51,0.64317,1.62781,0.91066,1.07031,0,0.48451,0.63154,0.64122,0.42519,0.4505,0.59574,0.59446,0.43938,1.30339,2.79649,1.66803,1.88726,0,0.000748884,0.000748884,0.000748884
53,1103.09,0.62953,1.5296,0.892,1.0584,0,0.65876,0.57857,0.71158,0.49434,0.44148,0.74364,0.671,0.50017,1.30092,2.71503,1.47933,1.81469,0,0.000747234,0.000747234,0.000747234
54,1123.76,0.65758,1.57727,0.92819,1.06576,0,0.77404,0.47946,0.67933,0.50729,0.72888,0.45878,0.64805,0.51027,1.26833,2.70283,1.66746,1.73715,0,0.000745585,0.000745585,0.000745585
55,1144.34,0.63553,1.52756,0.88102,1.06117,0,0.60057,0.72807,0.69661,0.55937,0.56223,0.69375,0.64565,0.4758,1.23195,2.82043,1.40525,1.74914,0,0.000743936,0.000743936,0.000743936
56,1164.86,0.62675,1.58395,0.91765,1.06139,0,0.79854,0.52296,0.67092,0.50355,0.72839,0.48767,0.61061,0.46069,1.19051,2.66942,1.3864,1.68134,0,0.000742286,0.000742286,0.000742286
57,1185.43,0.63123,1.53927,0.91357,1.06033,0,0.67149,0.57943,0.71589,0.52542,0.62594,0.56189,0.67497,0.49579,1.14018,2.68453,1.44016,1.68593,0,0.000740637,0.000740637,0.000740637
58,1206.09,0.61287,1.48691,0.88374,1.05455,0,0.63798,0.75844,0.76542,0.57936,0.61432,0.73612,0.7422,0.55152,1.1664,2.7078,1.47142,1.67169,0,0.000738988,0.000738988,0.000738988
59,1226.74,0.61837,1.5637,0.88782,1.0594,0,0.78921,0.49325,0.73914,0.52973,0.73923,0.4619,0.68132,0.51603,1.2138,2.938,1.50539,1.75295,0,0.000737338,0.000737338,0.000737338
60,1247.31,0.60552,1.44263,0.83886,1.03493,0,0.55229,0.71711,0.7334,0.54325,0.5328,0.6814,0.68544,0.51934,1.166,2.72749,1.43102,1.70134,0,0.000735689,0.000735689,0.000735689
61,1267.92,0.59868,1.46997,0.81966,1.03604,0,0.77035,0.70138,0.73809,0.57923,0.73773,0.66225,0.70141,0.50966,1.15241,2.59839,1.32888,1.69142,0,0.00073404,0.00073404,0.00073404
62,1288.43,0.607,1.49524,0.83348,1.03875,0,0.6689,0.74715,0.76284,0.62245,0.62085,0.70803,0.71084,0.54124,1.11228,2.77645,1.2299,1.69634,0,0.00073239,0.00073239,0.00073239
63,1309.06,0.60184,1.48928,0.8282,1.04615,0,0.59947,0.63214,0.66863,0.53426,0.56521,0.61429,0.63899,0.5099,1.0904,2.47605,1.51353,1.6193,0,0.000730741,0.000730741,0.000730741
64,1329.65,0.60381,1.47065,0.80473,1.04032,0,0.60834,0.74765,0.7537,0.58845,0.55976,0.71127,0.71154,0.54318,1.11427,2.51905,1.29664,1.67066,0,0.000729092,0.000729092,0.000729092
65,1350.14,0.57526,1.45411,0.77682,1.02019,0,0.43107,0.70179,0.64707,0.47747,0.40861,0.66607,0.60161,0.44913,1.20854,2.65621,1.64461,1.66937,0,0.000727442,0.000727442,0.000727442
66,1370.78,0.59663,1.4647,0.8275,1.03298,0,0.78432,0.68742,0.77361,0.55877,0.77043,0.66913,0.73947,0.52541,1.20395,2.72795,1.24631,1.701,0,0.000725793,0.000725793,0.000725793
67,1391.55,0.6023,1.42159,0.78349,1.02586,0,0.70889,0.51938,0.73258,0.52659,0.6807,0.48263,0.69562,0.49232,1.12881,2.51582,1.72428,1.64138,0,0.000724144,0.000724144,0.000724144
68,1411.98,0.58664,1.52493,0.80333,1.02596,0,0.72068,0.64541,0.70765,0.5655,0.67585,0.62967,0.65631,0.50101,1.06119,2.53924,1.25303,1.5829,0,0.000722494,0.000722494,0.000722494
