epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,420.978,1.04838,2.62111,1.5592,1.33028,0,0.58509,0.36607,0.43376,0.26245,0.55731,0.36607,0.41732,0.26735,1.59818,2.88266,2.0443,2.03802,0,0.00092674,0.00092674,0.00092674
39,431.925,1.018,2.44078,1.47283,1.30553,0,0.27384,0.69911,0.47963,0.28184,0.24541,0.6625,0.44414,0.28728,1.70393,3.5363,2.01943,2.15396,0,0.00092476,0.00092476,0.00092476
40,442.907,1.02787,2.44766,1.50327,1.31642,0,0.25472,0.67232,0.5207,0.37564,0.24776,0.62442,0.50942,0.34585,1.62303,3.08045,2.36354,2.02637,0,0.00092278,0.00092278,0.00092278
41,453.832,1.00604,2.4412,1.46128,1.29865,0,0.7806,0.3987,0.61379,0.45784,0.7517,0.40241,0.59378,0.42384,1.47797,2.81724,1.84232,1.94904,0,0.0009208,0.0009208,0.0009208
42,464.877,1.01061,2.43934,1.45967,1.28083,0,0.62133,0.52608,0.52555,0.40396,0.58667,0.51715,0.50051,0.39183,1.39126,2.63258,2.03462,1.82684,0,0.00091882,0.00091882,0.00091882
43,476.028,1.01154,2.49502,1.47565,1.29764,0,0.30167,0.63393,0.47431,0.31966,0.28877,0.61607,0.45504,0.34672,1.44691,2.72521,1.96159,1.87536,0,0.00091684,0.00091684,0.00091684
44,487.183,1.006,2.42038,1.46273,1.29198,0,0.51329,0.43812,0.49917,0.35477,0.518,0.36077,0.44968,0.33239,1.34816,2.87416,1.69381,1.78514,0,0.00091486,0.00091486,0.00091486
45,498.24,0.98777,2.42516,1.43015,1.27669,0,0.78098,0.33219,0.49975,0.36213,0.7517,0.32772,0.48966,0.3452,1.40144,2.70359,1.702,1.88521,0,0.00091288,0.00091288,0.00091288
46,509.17,0.97693,2.34317,1.39125,1.2645,0,0.78226,0.4111,0.52709,0.35241,0.73416,0.39805,0.51127,0.37485,1.39872,2.8121,1.84378,1.8313,0,0.0009109,0.0009109,0.0009109
47,520.044,0.99955,2.38569,1.43623,1.27027,0,0.49802,0.53661,0.54537,0.37721,0.48679,0.53214,0.52415,0.3913,1.49063,3.00905,2.08288,1.99815,0,0.00090892,0.00090892,0.00090892
48,530.981,0.98945,2.43319,1.41174,1.28519,0,0.71284,0.38714,0.59571,0.44269,0.69829,0.38243,0.56634,0.39799,1.54103,3.24618,1.90339,1.9849,0,0.00090694,0.00090694,0.00090694
49,541.878,0.99508,2.44299,1.42228,1.29032,0,0.80924,0.49623,0.63426,0.47887,0.80253,0.49043,0.61251,0.44617,1.42122,2.92911,1.69574,1.87949,0,0.00090496,0.00090496,0.00090496
50,552.854,1.016,2.48019,1.43195,1.30732,0,0.43307,0.64911,0.5847,0.43285,0.39771,0.63125,0.54432,0.41152,1.30548,2.77433,1.60752,1.73537,0,0.00090298,0.00090298,0.00090298
51,563.772,0.97991,2.42732,1.41268,1.26704,0,0.50374,0.48839,0.50307,0.34647,0.48006,0.43741,0.45746,0.31488,1.39751,2.78978,1.57819,1.79598,0,0.000901,0.000901,0.000901
